filename, bad bean, good bean
09f44886-0cae-43b1-97fe-d8055d8d3616_45_jpg.rf.f33d7678dec1542eb897e5cdd4c7fb12.jpg, 0, 1
2eae8682-54b6-40b7-9684-d956300a4077_jpg.rf.f3261b76bf4900e46592ede73cfbcba9.jpg, 0, 1
69fc95bf-f644-4c92-8057-f05146da07f7_jpg.rf.f2bd7805b4f5bc8af3efd045530da1f4.jpg, 0, 1
868aed84-639d-46d3-9f59-3d71ba702ea0_270_jpg.rf.f34495a3836abec76b983fcd0c099918.jpg, 1, 0
1b05898a-3be4-4b9e-b4a0-6d23dfdaabf0_270_jpg.rf.f2ef832fd154345dea88a81f6db2d3ba.jpg, 0, 1
79eb3e80-65d5-431c-b388-ea52ce593c7d_90_jpg.rf.f2c7c77fc246cd47cd248ec9b11ddaeb.jpg, 1, 0
6fb259e3-002e-473c-a2bc-4a9f48c1ebe7_45_jpg.rf.f2cedcae5f8c44dd55d063eaea6e5030.jpg, 1, 0
de7c5c69-6255-4087-9565-1732a07c986d_135_jpg.rf.f343030c0ffa0ee11ec1346d87ab88be.jpg, 1, 0
91fd5e6d-6fa7-45ec-b8dd-a390713a150f_180_jpg.rf.f2e5cf88c3c590d6bb410dfbfd6bc396.jpg, 0, 1
3fa757aa-5f48-4acc-b2d9-edf0d584d79a_135_jpg.rf.f326a86a8627282872c45ac98a7fe364.jpg, 0, 1
8a28aff5-8859-462a-bccf-e8d61dde3eff_45_jpg.rf.f2bf45848bee17376622dbb66aaf251a.jpg, 1, 0
2da43d43-ad7b-435c-920d-0fbfebb88959_90_jpg.rf.f3192e55a9369483653031fd430b1fc1.jpg, 1, 0
9ef0276c-3a70-4027-8d1d-2503df2e9f56_225_jpg.rf.f2d48b276406bf5a1bc69d6ae38f52eb.jpg, 0, 1
WIN_20221229_22_06_29_Pro_jpg.rf.f311cd6fa19bb4871dbae96eba8217f1.jpg, 1, 0
207aff1c-09cf-47d1-ae76-474c6c31b0e4_225_jpg.rf.f308ff049be9aae74b54e28bd516f11b.jpg, 0, 1
52c230c2-20b1-4769-978c-d0a859364b3e_225_jpg.rf.f2c46a4f2e345fe10842295c107259b1.jpg, 0, 1
1513532a-b352-4b17-b681-b02f3127b483_225_jpg.rf.f2e4361a021c1fd0a43cde023e170bae.jpg, 0, 1
9765b374-f3eb-4a26-903c-90d85bc9fe0a_270_jpg.rf.f33cf5ecd8ab9a3af8cbdf4bab4c8dd0.jpg, 0, 1
5d06dc79-9d5c-46d0-a720-e4898e65949c_180_jpg.rf.f2c4ea40d08cd7c921d726d09988d99f.jpg, 1, 0
b361e99e-9c59-43b5-92f6-80ad77c3287f_45_jpg.rf.f2baca657c2855e815b6eddf6f3d23d8.jpg, 1, 0
b84b2bd1-353d-4da0-80e6-da6df7b611b8_90_jpg.rf.f34c0ad0f580265997869d89aa5fa4f1.jpg, 0, 1
61bd5e75-cfb1-47e8-b4be-24447913359a_jpg.rf.f3426967d8c2687e7f5d73b4813da773.jpg, 0, 1
WIN_20221229_23_00_26_Pro_jpg.rf.f35364ee15234fd8f0b017ef1df12465.jpg, 1, 0
01c27009-f681-4495-8d82-599547aba120_270_jpg.rf.f3483af3b72b344ddbe64709faeebf9b.jpg, 1, 0
82743c35-e968-47ee-93f6-95270352fe13_45_jpg.rf.f364a9b58766ec65544cfa76e6ddd9de.jpg, 1, 0
7089d907-9aaf-459e-ae22-53962285fbc8_jpg.rf.f32180080beea12a42689701163e5f7e.jpg, 0, 1
16179c8f-5a02-46d2-bcf1-145bf553fc58_90_jpg.rf.f343f91b09f11e03891cf8be1889405e.jpg, 0, 1
cce642b7-d4aa-4dc6-951b-e1b655f68334_270_jpg.rf.f305d8e4fdba66b3c59b25400b973c6c.jpg, 1, 0
ac755961-63a0-4e01-b87e-eacd0b5d7899_180_jpg.rf.f367c90b385b163d67cdcf6a5bc4554c.jpg, 0, 1
9ec72020-824e-4c15-b633-cba42d080364_270_jpg.rf.f3713f317473a1ab2d7342cee702b97f.jpg, 1, 0
56863d51-82dd-432b-808a-bb09a5e65be6_135_jpg.rf.f373c782c1b4f5c965baa725936665f2.jpg, 0, 1
d6ed6d4c-2acb-4507-bc4c-70480968eacb_270_jpg.rf.f3730de43df98063a98db5f22763a613.jpg, 0, 1
06b95f3f-e2f5-4f58-95b1-6f9024e8e5d7_45_jpg.rf.f38541805e3502d77139092274b8a407.jpg, 0, 1
66ffa488-289b-4188-afe1-7764a1a1bb1a_135_jpg.rf.f3945ca0e3a412b31ad207d267d117ba.jpg, 0, 1
8dfde29c-73a0-4bd6-a788-0a31baf572a0_180_jpg.rf.f395ecdc373f4dfb2281d7362068ee72.jpg, 0, 1
70be0397-922c-4185-bb84-728b59ab25f8_180_jpg.rf.f3a7705f9e2fbb9a4476d46e0b5da3f3.jpg, 0, 1
93a64c9f-678d-4302-94ea-5758bbf7451c_180_jpg.rf.f3a9dc1d0d6981ca1dd36664857ba896.jpg, 0, 1
WIN_20221229_22_28_38_Pro_jpg.rf.f3ac48597db41df53b1950bb3ad15427.jpg, 1, 0
57ab1fc0-e755-40c3-82cb-cce0684f11f4_45_jpg.rf.f3b861c5cbc444f19733ffa4a67426d9.jpg, 0, 1
4737a7d7-5d10-4912-b3e7-c8254a88af02_45_jpg.rf.f3c0ca8a878b613ce8b9778cb50d6deb.jpg, 0, 1
a4b1b05e-8f9a-4f68-98fe-52dd9e2a9663_225_jpg.rf.f3ced2ddd49802a728dc8527a9e4b94a.jpg, 1, 0
6cdbe5d2-04bc-4a25-b1a0-be0a00a136ae_jpg.rf.f3f179e5d7aab68a72168ff30011b7b3.jpg, 0, 1
75a3c3df-b678-4a55-aa92-02be5879a4cd_135_jpg.rf.f3c08657ec53e5493471703c591bfef1.jpg, 0, 1
76a872d2-5c22-4f33-82b4-18c0f78e1a1b_180_jpg.rf.f3d9f8f9569cfe7b96e6f0a588df72c3.jpg, 0, 1
WIN_20221229_22_47_19_Pro_jpg.rf.f3cd0c8989ea7365ece318f61b589084.jpg, 1, 0
2c59ee70-dc1c-4de3-83ab-aa36a5fb92c9_45_jpg.rf.f3f4407f3872ea1458c81a7cf7b81a9d.jpg, 0, 1
0dab9689-2c2d-4dc6-bb71-db1b6d82cb17_225_jpg.rf.f40baf577b0b5f84444858c69a49e41c.jpg, 0, 1
d2936fba-871f-4fbe-97da-b6e6e347e889_45_jpg.rf.f40a67b2e8ffffe90f308b27f02e5e88.jpg, 1, 0
56863d51-82dd-432b-808a-bb09a5e65be6_135_jpg.rf.f40abe16f6f21de7e57996bb832452ab.jpg, 0, 1
b84b2bd1-353d-4da0-80e6-da6df7b611b8_180_jpg.rf.f417f0389b6a4756853442f905cb5245.jpg, 0, 1
69dc5c1e-a7ad-49aa-ba21-235545c312c6_45_jpg.rf.f41a0406a5bdee81582e069e6fb6ca61.jpg, 0, 1
11037d07-18b3-4fc4-8025-f06dcbc0500d_45_jpg.rf.f40c0259e87e99a3ba346cd71c3149b3.jpg, 1, 0
WIN_20221229_22_15_03_Pro_jpg.rf.f4281baf46627ca26336a65d488ed9ee.jpg, 1, 0
WIN_20221229_22_27_45_Pro_jpg.rf.f42da6f4e2826001204a7e5ae6c0ba3d.jpg, 1, 0
11037d07-18b3-4fc4-8025-f06dcbc0500d_270_jpg.rf.f425adf471b113712a054203ea84cbb9.jpg, 1, 0
217ac982-fddf-49ae-a311-27cf800d10f0_45_jpg.rf.f41948db32c381e8a3ed4bd5af16cfa1.jpg, 0, 1
7a6523d6-ef65-4cca-8160-946936395ede_270_jpg.rf.f43b682b0ad00b3332ff72fc25249584.jpg, 0, 1
1b05898a-3be4-4b9e-b4a0-6d23dfdaabf0_jpg.rf.f42f15be3a57a64c06a901e30b055c2f.jpg, 0, 1
96f68346-9256-416a-a050-9ec4b750ccc6_180_jpg.rf.f439a1716d051ccd2e96ede383ff8eb2.jpg, 0, 1
33e3e3fe-8e37-4b4a-aa04-ad3864731632_jpg.rf.f43fb16c440f1bcb96ffc069ccddbde4.jpg, 0, 1
4fac26f2-1588-4362-9e73-ffe2e8791cbb_270_jpg.rf.f436ccf58546e0cbaa99b787fb1a20a1.jpg, 1, 0
f206736f-e48f-4e12-b367-144752c744e6_45_jpg.rf.f4595ad6d0422ef9ffc12e3563c34d1f.jpg, 1, 0
6fb259e3-002e-473c-a2bc-4a9f48c1ebe7_45_jpg.rf.f450919f49cf34a2a9e0f60be0daec9d.jpg, 1, 0
1ab90226-8889-4bcd-ad0c-ea01fedaaffd_90_jpg.rf.f459f3d2cea30b23431e386f1b6ba963.jpg, 1, 0
92787dc3-1720-41c4-8acc-5c7f3fda0fa5_270_jpg.rf.f45b013e259987e46deca2e61e4f28bf.jpg, 1, 0
09e044e6-a2b6-4827-9853-beb7d392347f_270_jpg.rf.f45d963d2149c08941fa2b3bce00f554.jpg, 0, 1
